"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"83","Ferie, fritid",1992-11-01,5766,3459,30027,2169,13577,17883,7724,6145,41770,24984,6073,6266,0,10391,7732,4818,3519,2163,16252,210718
"84","Ferie, fritid",1992-12-01,6059,10237,68040,2575,21428,20507,7744,7228,75202,20350,7769,7000,0,22886,6241,4228,3552,3007,21592,315645
"85","Ferie, fritid",1993-01-01,7544,22482,88545,2244,36087,13591,3250,4913,92931,22244,6207,1700,0,32601,5637,4246,2341,1696,22199,370458
"86","Ferie, fritid",1993-02-01,8554,30327,147644,2483,52076,24417,3951,4831,177709,21567,7278,5472,0,47238,6373,6823,3138,2951,36590,589422
"87","Ferie, fritid",1993-03-01,6263,29742,128653,3415,48897,26148,6455,7598,168667,27260,6987,6899,0,32744,6549,7619,3269,2183,43031,562379
"88","Ferie, fritid",1993-04-01,5706,19442,119973,4948,28903,38630,7235,7026,124210,21875,10305,10833,0,31523,6259,6748,4214,1825,39238,488893
"89","Ferie, fritid",1993-05-01,15359,9177,36032,6374,13063,63579,14937,8670,38699,45573,11648,27834,0,20486,7054,7611,5662,4499,20099,356356
"90","Ferie, fritid",1993-06-01,29583,19986,88462,50459,37431,136876,53113,58556,162695,84156,19715,87347,0,50020,33015,26388,14666,6734,63245,1022447
"91","Ferie, fritid",1993-07-01,45878,57460,183039,78807,68126,204714,78210,100145,327047,151928,41910,126279,0,126099,59477,78205,36502,15765,123985,1903576
"92","Ferie, fritid",1993-08-01,38717,27559,120745,36793,47997,156928,48002,45592,229743,119117,22435,90783,0,67079,26680,26635,13582,9206,71853,1199446
"93","Ferie, fritid",1993-09-01,12143,10499,61238,6818,23376,54910,13869,10543,126735,51900,9257,26860,0,36451,7616,6607,4145,3003,25655,491625
